Product_id,Selling_Price
SCHE4YSTDVPVZVXW,3577.1048691718343
ACCEGCATKHNRXUHW,2243.275837075801
NKCE6GJ5XVJDXNNZ,10960.363322989182
NKCEB8BK3ZXDHDHM,8939.796433893673
TOPEFDXSAHRNPF94,5607.678807941745
ACCE558KZHEPZYMG,8511.980227506647
ACCEAZCVAMFHDPY7,4928.761261808619
NKCDYNY37JPBGBVM,2882.064311485686
NKCEY8KWY33FCUYD,7170.701375626586
RNGE4YPTQYRECV9J,4349.598449211444
NKCE88AHBHJZREXH,4263.575330430952
CLTEJ5ZZGBP4JGGE,7221.88744590599
WATE3NWH5FZWAMDA,7156.365430707276
CAGE53FSFZVFPFHQ,2217.029936913007
PCSEAKVBFFPGCHNZ,3912.492738670009
WATDFFH3KJYBTYGG,6615.2313811704735
NKCDWHFQSCHHYZMP,2991.00828961167
RNGEB2PG3Q5RKDW6,3622.1321415308184
NKCE5UY9HHPZGGUZ,4462.121226384033
KTAEHETW3ZCMFMJR,4332.6620022795905
BRAEBBYRVF9MHJHU,7072.109529084616
NKCEAX7HAQ2RJA3Q,9802.20060261451
CRTECN2RQZWBSP9W,5039.833449288193
WATDEWZ9UHSEHGZG,9083.253732427023
PTPEYW8HNV6G9YYR,3182.7297992687945
ACCEAMGZRRYVAHDC,4999.254555006952
SRTEHHXG8MUXTGPA,5927.478772869554
SKIE4S4NN4MHYM3Z,4856.0861227169635
HMBE7G34YHWPWKYN,7008.174250400578
LLIEGTMFJBD7ZZZM,12834.714547886684
ACCEJGH6JVTM4CBH,1174.5425246663315
ACCDQDYBXJ9HZF37,9423.428965346902
RNGE88FRGZCXNKUG,249.03055161934492
NKCE7M3QNNPZDXHQ,9650.250164280307
VLBEGFFDP9H6WG2T,3616.912492109797
TOPEAFG4YEQSH5TT,2915.3357884596594
WATEYAP3K2QQQWDH,5271.038141050412
PCSEBDFUFJWGARNX,9820.779007572193
SWTEGXQFZY95SKG7,4958.8666157861935
BRAEGJFXSM9ZQ6SK,6042.396108440571
CAGE6FYKP34GA4GF,7119.185816005489
HMBEJCMH78VJF3M8,4469.9359578925705
HIFEB7J3GSTVN5XJ,9852.49900736165
PBXE6ZHNGZREWWHR,4564.628984293076
PCSEAKVBNXFGZBKB,6623.707654863251
BRAEBBMQQNZ9RZWR,5634.336445640195
ACCEGKFCXHZZH44S,641.214057658242
SHODXQRRGKZ74U9M,4654.966739688412
DREE2Y6DVEKVVQQS,4649.738602120945
PBXE8ZHHG5Y525BT,6767.6269706027615
CTTEH9FXZHGFKUA3,7720.574538782121
ACCDXFZXGQTBTM6N,3808.8562247875097
NKCE9PFF3TT4KSQJ,7433.017549732701
BRAE6NZAZK77HXZK,1552.0501666160226
NKCE4TV42BHDP63U,3590.447605186119
AIREDGGD9RJPZGYW,5545.896077669509
PCSEDAPMHR2HNHWP,7643.574014240634
PACE95FMAFXHZB5C,4619.800779003586
WATDG4KP445AV5XC,12680.111747063842
ACCE9EYRRNZYZUBG,934.6059429854943
ACCE8XZMAHNC8JVS,21.114989549212055
